Base DataSet,Model Method,Parameters,Mean Squared Error,R Squared
"Jul IntMnt Ref Test features selected via ICA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.044637596538262846,0.3569548246369144
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Averaging Ensemble,"{'weights': [0.72302415290809274, 0.59660420897242616, 0.61026411533839553], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.04533747606718575,0.3468724234927695
"Jul IntMnt Ref Test features selected via ICA n20, Test Score",Averaging Ensemble,"{'weights': [0.63374837946215168, 0.67714624997170703, 0.69179111535035231], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.04588738783295723,0.33895044437026833
"Jul IntMnt Ref Test Scaled features selected via PCA n20, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.04727888987648119,0.3189045918829163
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Averaging Ensemble,"{'weights': [0.23491579896934717, 0.28658466641583402, 0.27594976312795827], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.04758882053052154,0.31443975893415
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.04777310920394772,0.31178491298564137
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.04779264546807283,0.31150347533297784
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}], 'includeOriginalFeatures': True}",0.04779269707478067,0.31150273189141586
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 10}",0.048299936021904646,0.3041954935318252
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",Random Forest,"{'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}",0.05455674276066522,0.21406050198741255
"Jul IntMnt Ref Test Scaled, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.05524989731708063,0.20407498018850034
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.056586566512908075,0.18481904474187505
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.05702678545313235,0.1784772905353731
"Jul IntMnt Ref Test Scaled features selected via ICA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.05704145342218795,0.1782659851008277
"Jul IntMnt Ref Test, Test Score",Random Forest,"{'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}",0.05763933917964372,0.16965289699648323
"Jul IntMnt Ref Test Scaled, Test Score",Random Forest,"{'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}",0.05774571989246401,0.1681203860766326
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 1.0}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.05886496178122502,0.15199668873519767
"Jul IntMnt Ref Test, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 1.0}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.059684451240497746,0.14019119776091282
"Jul IntMnt Ref Test Scaled, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': False}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.05978810074251495,0.13869803241667622
"Jul IntMnt Ref Test features selected via ICA n20, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.060503972618453555,0.12838524696896858
"Jul IntMnt Ref Test Scaled features selected via ICA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.061915819233166636,0.10804631243055263
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.06359573843890483,0.08384554841038983
"Jul IntMnt Ref Test Scaled features selected via ICA n20, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.06426890343541938,0.07414799440205655
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.0643326717613928,0.07322935367006644
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.06505614211458688,0.0628071052467919
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 1.0}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.0654043209356656,0.0577912726656995
"Jul IntMnt Ref Test Scaled features selected via PCA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 10}",0.06549941878573917,0.05642130164531112
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 1.0}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.06597643927216211,0.04954938769535888
"Jul IntMnt Ref Test Scaled features selected via ICA n20, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.0683975567964255,0.014670987788006462
"Jul IntMnt Ref Test Scaled features selected via ICA n20, Test Score",Averaging Ensemble,"{'weights': [0.42895609977416066, 0.50824362232261122, 0.44699278074312793], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.07228843609920806,-0.041380667265368265
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Averaging Ensemble,"{'weights': [0.59776899518844195, 0.59719502960660897, 0.49364308169031257], 'predictorConfigurations': [Ridge Regression {'alpha': 0.5, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.07306394969465972,-0.05255264592591713
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.0753199428183131,-0.08505227866429887
"Jul IntMnt Ref Test Scaled features selected via PCA n20, Test Score",Averaging Ensemble,"{'weights': [0.43040535327896945, 0.57483746464500807, 0.47560524387195441], 'predictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.07627776773265495,-0.09885061768289116
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",Averaging Ensemble,"{'weights': [0.59630922082598681, 0.49763094684147757, 0.42870601396088009], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.07794787857976217,-0.12291008337641851
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.07913320634531087,-0.13998580787710102
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.08644082383739696,-0.2452586840199018
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.09114498476719803,-0.3130264005780079
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Ridge Regression,"{'alpha': 1.0, 'normalize': False}",0.09598051408838165,-0.3826865982915759
"Jul IntMnt Ref Test Scaled, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': False}",0.10059537004914862,-0.4491677955492064
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.10312087961421536,-0.48555005774733795
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",Ridge Regression,"{'alpha': 1.0, 'normalize': False}",0.10569433971109872,-0.5226230909665828
"Jul IntMnt Ref Test, Test Score",Ridge Regression,"{'alpha': 1.0, 'normalize': False}",0.10569450836504277,-0.522625520580035
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 0.5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.5, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.1096847781048517,-0.5801089852728969
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.11163008727936846,-0.6081329331615402
"Jul IntMnt Ref Test features selected via ICA n20, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.11641706782676653,-0.6770937416343403
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.1220371147096803,-0.758055628331672
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 0.5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.5, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.12613622972797112,-0.8171071082542254
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.12640907562160497,-0.8210377015012988
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Ridge Regression,"{'alpha': 1.0, 'normalize': False}",0.1446061733472744,-1.083183444228999
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.1543420435434681,-1.2234375090341474
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Ridge Regression,"{'alpha': 0.5, 'normalize': False}",0.17984502599822622,-1.590831165877748
"Jul IntMnt Ref Test Scaled features selected via ICA n20, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.22126953774600636,-2.1875889325811553
"Jul IntMnt Ref Test Scaled features selected via PCA n20, Test Score",Ridge Regression,"{'alpha': 1.0, 'normalize': False}",0.2649423195961449,-2.816735074877217
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.37442807370026426,-4.3939769384102
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",Averaging Ensemble,"{'weights': [0.13794399617217581, 0.18955686217048484, 0.11723823551962106], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.39904135808729196,-4.748553685420998
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}], 'includeOriginalFeatures': True}",0.401156425405805,-4.779023153766412
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",Random Forest,"{'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}",0.40115642540580504,-4.7790231537664125
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.4011564254058051,-4.779023153766413
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 10}",0.5790118858814997,-7.341192818811875
