Base DataSet,Model Method,Parameters,Mean Squared Error,R Squared
"Jul IntMnt Dry Test features selected via Variance Threshold .1, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.020399844456731465,0.7061216872459983
"Jul IntMnt Dry Test, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.020618614806688643,0.7029701013864893
"Jul IntMnt Dry Test Scaled features selected via PCA n50, Test Score",Ridge Regression,"{'alpha': 1.0, 'normalize': False}",0.020752869360524465,0.7010360424359665
"Jul IntMnt Dry Test features selected via ICA n20, Test Score",Averaging Ensemble,"{'weights': [0.62681741729927354, 0.53193196595430792, 0.60971373915829408], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.021169138240840542,0.695039310624665
"Jul IntMnt Dry Test features selected via Variance Threshold .1, Test Score",Random Forest,"{'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}",0.02222061426660226,0.6798918421717781
"Jul IntMnt Dry Test features selected via PCA n20, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.022232626578882666,0.6797187938883598
"Jul IntMnt Dry Test features selected via ICA n20, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.022232626578882676,0.6797187938883595
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}], 'includeOriginalFeatures': True}",0.022358429099147432,0.6779064941684267
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",Averaging Ensemble,"{'weights': [0.61536783098592418, 0.38451707530366075, 0.42071250338312793], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.02246253793356502,0.6764067117232067
"Jul IntMnt Dry Test, Test Score",Random Forest,"{'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}",0.023143769700815026,0.6665929485458215
"Jul IntMnt Dry Test Scaled, Test Score",Random Forest,"{'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}",0.023143769700815026,0.6665929485458215
"Jul IntMnt Dry Test features selected via PCA n20, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.02393298752916556,0.6552235479465682
"Jul IntMnt Dry Test Scaled features selected via PCA n50, Test Score",Averaging Ensemble,"{'weights': [0.6149155590542037, 0.55915005158786091, 0.40248275164103559], 'predictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.023940280429381358,0.6551184870861756
"Jul IntMnt Dry Test Scaled features selected via PCA n20, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.02420250137460368,0.6513409558842028
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",0.02436689639237119,0.648972696138441
"Jul IntMnt Dry Test features selected via ICA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.02449493658361031,0.647128160732994
"Jul IntMnt Dry Test features selected via PCA n50, Test Score",Random Forest,"{'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}",0.02500717248249871,0.6397489367385836
"Jul IntMnt Dry Test Scaled features selected via PCA n20, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'max_features': None, 'random_state': 47392, 'n_estimators': 20}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.02508583047572465,0.6386157968078903
"Jul IntMnt Dry Test features selected via ICA n20, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.025222668378131086,0.6366445223716908
"Jul IntMnt Dry Test features selected via ICA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.02542146867685353,0.6337806232626824
