Base DataSet,Model Method,Parameters,Mean Squared Error,R Squared
"Jul IntMnt Dry Test features selected via PCA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",4635.548602839691,0.8702881536682595
"Jul IntMnt Dry Test, Test Score",Averaging Ensemble,"{'weights': [0.691425020732364, 0.74061733648417383, 0.76656303122436498], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",4664.086220632494,0.8694896145068869
"Jul IntMnt Dry Test Scaled, Test Score",Averaging Ensemble,"{'weights': [0.691425020732364, 0.74059921250687122, 0.74074586574197776], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",4898.333106547278,0.8629349219186452
"Jul IntMnt Dry Test features selected via PCA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",4989.145401251906,0.8603938137510934
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",5052.11850680916,0.8586317013258087
"Jul IntMnt Dry Test Scaled features selected via PCA n20, Test Score",Averaging Ensemble,"{'weights': [0.28599954049522835, 0.74312449605680708, 0.69113041825303156], 'predictorConfigurations': [Ridge Regression {'alpha': 0.5, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",5414.917306903307,0.8484798711458115
"Jul IntMnt Dry Test features selected via PCA n50, Test Score",Averaging Ensemble,"{'weights': [0.63888395580307011, 0.63847077402757657, 0.76656303122436498], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",5688.188239318358,0.8408332083170282
"Jul IntMnt Dry Test, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",5706.836343480914,0.8403113973667493
"Jul IntMnt Dry Test features selected via Variance Threshold .1, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",5706.836343480914,0.8403113973667493
"Jul IntMnt Dry Test features selected via PCA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",5706.836343480914,0.8403113973667493
"Jul IntMnt Dry Test features selected via PCA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",5708.452926748093,0.8402661621598082
"Jul IntMnt Dry Test features selected via PCA n20, Test Score",Averaging Ensemble,"{'weights': [0.60360965364334407, 0.71516452742848158, 0.76396945251756576], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",5949.94675937858,0.8335086856253071
"Jul IntMnt Dry Test features selected via Variance Threshold .1, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",6148.999332396946,0.8279387997335964
"Jul IntMnt Dry Test Scaled features selected via PCA n50, Test Score",Averaging Ensemble,"{'weights': [0.66477030160292749, 0.59488778741724446, 0.74326812879555471], 'predictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",6238.321841416015,0.8254393787250993
