STAID,ID,Month,Year,qmeas,X.1,granitic,sedimentary,volcanic,SGEO8,SGEO44,HLR16,HLR18,HLR19,HLR20
T10291500,T10291500,7,2000,70.84,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1968,44.03,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1964,51.06,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1973,89.58,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1966,41.97,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1977,18.77,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1979,93.52,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1969,294.52,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1998,277.06,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,2003,66.87,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1967,345.65,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1959,39.48,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,2011,307.29,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1974,130.55,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1963,179.77,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,2001,31.84,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1958,192.29,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1978,212.32,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,2004,58.35,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1972,50.48,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1971,134.29,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10291500,T10291500,7,1970,103.39,0.01624365482233503,0.0,1.0,0.0,0.0,0.0,0.0,0.188,0.0,0.7705410821643287
T10308200,T10308200,7,1974,387.13,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1986,418.39,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1997,293.23,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1984,381.1,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1975,527.65,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1983,1427.9,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1973,216.77,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2007,69.58,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1985,141.81,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1977,57.97,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2011,1287.29,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1970,333.39,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1965,637.16,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1999,482.03,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1991,128.45,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1966,125.16,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1964,164.03,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2008,137.74,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1987,89.29,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2010,423.42,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2005,628.52,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1979,211.29,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1967,1174.68,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1981,86.87,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2009,179.45,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1988,80.94,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1978,542.06,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1990,101.03,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1972,177.61,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1993,531.68,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1980,862.61,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1961,103.23,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1996,429.19,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1992,76.29,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
