STAID,ID,Month,Year,qmeas,X.1,granitic,sedimentary,volcanic,SGEO8,SGEO44,HLR16,HLR18,HLR19,HLR20
T10308200,T10308200,7,1999,482.03,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1991,128.45,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1966,125.16,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1964,164.03,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2008,137.74,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1987,89.29,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1979,211.29,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1981,86.87,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2009,179.45,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1988,80.94,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1990,101.03,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1972,177.61,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1961,103.23,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1992,76.29,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1962,304.65,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2001,93.03,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1968,153.68,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1976,103.74,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,1994,88.94,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2002,129.55,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10308200,T10308200,7,2004,106.77,0.03451776649746194,0.0,0.0,1.0,0.585,0.0,0.11122244488977955,0.29100000000000004,0.11835506519558676,0.48096192384769537
T10336580,T10336580,7,2004,8.66,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1999,44.9,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2009,13.3,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2001,3.75,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2002,10.99,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1992,6.25,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2007,4.4,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1991,12.32,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1994,3.4,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,1990,9.49,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336580,T10336580,7,2008,7.87,0.09137055837563454,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.0
T10336600,T10336600,7,1981,7.23,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1975,103.45,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1976,5.27,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1966,12.9,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1985,14.42,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1964,20.8,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1977,7.9,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1979,30.06,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1962,45.81,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1961,11.43,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1972,22.65,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1968,15.06,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336645,T10336645,7,1991,1.51,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2001,0.92,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1992,0.96,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1985,1.12,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1999,5.31,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2002,1.18,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1990,1.16,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2004,1.24,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2007,1.05,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2009,1.23,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2008,1.07,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1987,0.96,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1988,0.76,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1981,0.73,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1994,0.49,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336660,T10336660,7,1992,3.25,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1972,9.77,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1975,49.55,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1981,3.72,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
T10336660,T10336660,7,1962,20.08,0.0984771573604061,0.0,0.0,1.0,1.0,0.0,0.003006012024048096,0.022000000000000002,0.00802407221664995,0.9649298597194388
