Month,Base DataSet,Model Method,R Squared,Mean O/E,Standard Deviation O/E,Mean Squared Error,RMSE (cfs)
Jan ,All Years features selected via Variance Threshold .08,Stacking OF Ensemble,0.7570859981923953,1.1403240904849028,1.0085723295988689,15818.752730928027,120.1020166234048
Feb ,All Years features selected via Variance Threshold .08,Stacking OF Ensemble,0.7761456851158676,0.9023833642198972,0.7966814083148979,19421.434538540187,132.40490266379732
Mar ,All Years Scaled,Stacking OF Ensemble,0.7357225981178364,0.9676650748171642,0.6804813420907941,9960.593588932437,97.34736829830601
Apr ,All Years Scaled,Stacking OF Ensemble,0.6980137413806389,0.9679523543711864,0.8173702042908897,4703.122547313442,65.99279440069299
May ,All Years Scaled,Stacking OF Ensemble,0.7644884925818494,0.9949330754582344,0.7251460492074935,449.8080691419008,20.36719836556244
Jun ,All Years Scaled,Stacking OF Ensemble,0.8176119478254765,1.1849093813222409,1.6387646654982078,66.21171029579668,8.094890364359651
Jul ,All Years Scaled,Stacking OF Ensemble,0.8447586417093241,1.1608924922316857,2.584626802082287,16.637993691915437,3.853409644827305
Aug ,All Years Scaled,Stacking OF Ensemble,0.8434732741386529,2.3304973044882376,16.66324789674247,6.521693657233754,2.4972342367563494
Sep ,Wet Years Scaled,K Nearest Neighbors,0.8541624326644051,3.2789029486111803,21.08736116333406,3.668530633175173,1.8811311990739208
Oct ,All Years,Stacking OF Ensemble,0.5552853500019497,24.434320672071024,298.98707339484366,134.46353027553374,9.336803570023726
Nov ,All Years features selected via Variance Threshold .08,Stacking OF Ensemble,0.6225135034713425,0.7917092174600457,1.1437752830369583,801.1797613975908,26.43061906023829
Dec ,Wet Years,Stacking Ensemble,0.7788219442836087,0.971130880506322,1.350240991777137,3819.094264490634,58.608008213496284
